RF,Time,Latitude,Longitude,Altitude
18,17:58:09,22.9025796,120.2727938,19.878
18,17:58:12,22.9025971,120.2727398,20.093
18,17:58:15,22.9026171,120.2726822,20.047
18,17:58:18,22.9026481,120.2726844,19.765
18,17:58:21,22.9027007,120.2726993,19.89
18,17:58:24,22.9027571,120.2727178,20.119
18,17:58:27,22.9028102,120.2727354,20.041
18,17:58:30,22.9028642,120.2727561,20.036
18,17:58:33,22.9029203,120.2727735,20.115
18,17:58:36,22.9029691,120.2727904,20.052
18,17:58:39,22.9030204,120.2728096,20.011
18,17:58:42,22.9030745,120.2728248,20.083
19,18:01:13,22.9030346,120.2730833,20.259
19,18:01:16,22.9030593,120.2730224,20.137
19,18:01:19,22.9030811,120.2729674,20.009
19,18:01:22,22.9031032,120.2729148,20.134
19,18:01:25,22.9031143,120.2728566,19.924
19,18:01:28,22.9030794,120.2728098,19.782
19,18:01:31,22.9030435,120.2727681,19.968
19,18:01:34,22.9030097,120.2727258,19.972
19,18:01:37,22.9029756,120.272684,20.033
19,18:01:40,22.9029437,120.2726428,20.092
19,18:01:43,22.9028994,120.2726251,20.052
19,18:01:46,22.9028462,120.2726408,20.015
19,18:01:49,22.9027978,120.2726585,20.03
19,18:01:52,22.9027458,120.2726755,20.029
19,18:01:55,22.9026973,120.2726917,20.02
19,18:01:58,22.90264,120.2727116,20.092
19,18:02:01,22.9025918,120.272728,20.128
19,18:02:04,22.9025491,120.2727398,20.003
19,18:02:07,22.9025639,120.2727636,19.956
19,18:02:10,22.9026129,120.2727949,20.05
19,18:02:13,22.902651,120.2728264,19.918
19,18:02:16,22.9026891,120.2728604,20.007
19,18:02:19,22.902736,120.2729004,20.125
19,18:02:22,22.9027608,120.272943,20.161
19,18:02:25,22.9027462,120.2729992,19.978
19,18:02:28,22.9027312,120.2730564,20.026
19,18:02:31,22.9027177,120.2731132,20.031
19,18:02:34,22.9027048,120.2731671,20.563
19,18:02:37,22.9027043,120.2731707,25.959
19,18:02:40,22.9027097,120.2731702,29.848
19,18:02:43,22.9027761,120.2731638,30.098
19,18:02:46,22.9028854,120.273151,30.078
19,18:02:49,22.9029925,120.2731352,30.174
19,18:02:52,22.9030139,120.2731294,30.077
20,18:11:03,22.9030225,120.2731023,19.081
20,18:11:06,22.9030199,120.2730634,20.14
20,18:11:09,22.9030132,120.2730014,20.132
20,18:11:12,22.9030073,120.2729442,20.089
20,18:11:15,22.9030007,120.2728828,20.015
20,18:11:18,22.9029906,120.2728275,19.976
20,18:11:21,22.9029848,120.2727648,19.972
20,18:11:24,22.9029783,120.2727032,19.921
20,18:11:27,22.9029717,120.2726468,20.068
20,18:11:30,22.9029391,120.2726228,19.924
20,18:11:33,22.9028889,120.2726284,19.887
20,18:11:36,22.9028403,120.2726341,19.971
20,18:11:39,22.9027868,120.2726396,19.983
20,18:11:42,22.9027354,120.2726457,20.128
20,18:11:45,22.9026818,120.2726649,19.929
20,18:11:48,22.9026346,120.2727008,19.995
20,18:11:51,22.9025896,120.2727316,20.198
20,18:11:54,22.9025409,120.2727638,19.965
20,18:11:57,22.9024997,120.2727948,20.071
20,18:12:00,22.9024517,120.2728269,19.975
20,18:12:03,22.9024077,120.2728602,19.912
20,18:12:06,22.9023611,120.2728933,20.03
20,18:12:09,22.9023155,120.2729255,20.087
20,18:12:12,22.9022685,120.272959,20.015
20,18:12:15,22.9022327,120.2729851,20.027
20,18:12:18,22.9022548,120.2730015,20.309
20,18:12:21,22.9023155,120.2730201,20.195
20,18:12:24,22.9023631,120.2730444,19.89
20,18:12:27,22.9024116,120.273068,19.888
20,18:12:30,22.9024593,120.2730895,19.995
20,18:12:33,22.9025124,120.2731144,19.989
20,18:12:36,22.9025624,120.273139,20.136
20,18:12:39,22.9026139,120.273163,20.371
20,18:12:42,22.9026599,120.2731824,20.698
